id	label
15725	generated
17108	generated
383	generated
7809	human
6215	human
20030	generated
17261	generated
9711	human
21106	generated
7515	generated
10134	generated
14684	generated
15319	generated
12026	generated
10841	generated
21661	human
4779	human
11131	human
10782	generated
11832	generated
9150	generated
4034	generated
21632	generated
423	human
7782	generated
17219	generated
16877	human
7603	generated
5888	human
7576	generated
19310	human
15774	generated
688	generated
4049	generated
18414	human
15164	generated
4007	human
4572	generated
5923	generated
15872	human
11433	human
221	human
20612	generated
6428	generated
14168	human
16425	generated
4935	human
13469	human
2195	human
20741	human
13687	human
13800	human
15943	generated
3707	human
14332	generated
3246	human
5966	human
16328	human
2171	human
20372	generated
12934	generated
8878	human
6433	human
17533	human
3507	generated
8753	human
9892	generated
13868	generated
5943	generated
18786	generated
6311	generated
13719	human
134	generated
5814	generated
12440	human
13821	human
20571	human
5748	generated
5226	generated
1261	generated
4539	generated
15722	generated
8403	generated
5050	generated
16828	generated
15468	generated
13037	generated
15645	generated
11711	generated
10363	human
3829	human
4202	human
8614	generated
2516	generated
1412	generated
11159	generated
13385	human
5893	generated
8611	human
12032	generated
13108	generated
12654	generated
18399	human
5194	human
1027	human
2325	human
7625	generated
8262	generated
10327	generated
21236	human
199	generated
15690	human
10217	human
13271	generated
6419	generated
13593	generated
2457	human
2127	human
2898	generated
17342	human
10319	human
11389	human
16041	generated
17797	generated
15918	human
7781	generated
20070	human
474	generated
6543	generated
6149	human
2084	human
7575	generated
10466	human
19482	generated
19791	generated
12623	human
4679	generated
2748	generated
18229	generated
5405	human
12387	human
5151	human
21788	generated
11243	human
10924	generated
4101	human
10534	generated
14866	generated
6108	generated
9430	human
18515	generated
16952	generated
16927	human
19091	human
6779	human
7409	human
16355	human
10885	human
7315	generated
15614	human
1534	human
13915	human
19987	human
3254	human
13932	human
1710	human
12648	generated
1580	generated
21319	human
2425	generated
2698	human
18761	human
21267	generated
17446	human
10897	generated
5286	generated
18695	generated
16675	human
18827	generated
16522	generated
18582	human
12200	human
6357	human
7744	generated
19556	generated
17935	generated
14658	generated
14479	human
4609	generated
2564	generated
21792	human
17696	human
17435	generated
4574	generated
2115	generated
18805	generated
15262	generated
8829	human
2332	generated
19325	human
21211	generated
4391	generated
15018	human
1827	generated
3362	human
13361	human
6551	generated
11153	generated
14493	generated
9289	human
12933	human
20812	generated
2041	generated
8644	generated
5115	human
18986	human
10700	human
20647	generated
17380	human
10280	human
15666	human
7765	human
17267	human
15098	generated
1815	human
17959	generated
3947	human
3015	generated
503	generated
17796	human
9320	human
18049	generated
10733	generated
6918	human
18026	generated
9495	human
8576	generated
18982	generated
21492	human
18963	generated
8377	generated
19688	generated
14507	human
19068	generated
15490	human
247	generated
5671	human
7696	generated
13394	generated
12918	generated
369	generated
14474	human
4003	human
20732	generated
6243	human
13470	human
7912	human
9586	human
8827	human
10945	human
16687	human
13307	human
6491	human
971	generated
4043	human
7747	generated
9507	generated
15030	human
10423	human
17333	generated
20677	generated
4487	generated
936	generated
15758	generated
3027	generated
6235	human
11505	human
10246	generated
4258	generated
4115	generated
21422	human
14158	generated
2676	generated
17104	human
5382	generated
2878	generated
19284	generated
44	generated
6550	human
8151	generated
2061	generated
14731	human
6508	generated
17548	human
6306	generated
20510	human
8293	human
14804	human
6482	generated
15413	generated
12928	generated
10586	generated
9701	human
9052	human
15418	human
17383	generated
19748	generated
6087	human
2308	generated
19177	generated
20419	human
8332	generated
18294	human
3128	generated
9928	generated
14221	human
13326	generated
17232	human
12123	human
8796	human
563	human
7806	human
16349	human
7132	generated
3018	human
18970	human
10186	human
17441	human
21918	human
20293	human
21751	human
17355	generated
15380	human
980	generated
12262	human
5561	generated
1457	generated
10760	generated
16706	generated
19007	generated
21382	generated
20488	generated
12325	generated
8604	generated
18152	human
17982	generated
3821	human
18580	human
945	generated
3616	human
10493	generated
7212	human
17112	generated
8582	human
15267	generated
15885	generated
4813	generated
2267	generated
3388	generated
15757	human
5727	generated
14843	generated
14729	human
1087	generated
3263	generated
9254	generated
18916	generated
13211	human
4325	generated
1448	generated
2876	human
17171	generated
4847	human
11043	human
2458	generated
17775	generated
20317	human
14406	human
6091	human
3106	generated
17467	human
3171	generated
4469	generated
8892	human
7457	generated
21264	generated
14925	human
10663	generated
21016	human
3843	generated
10381	human
17787	human
11937	human
17221	human
10856	human
